,Name,Confidence_Gr,Confidence_Pred,Confidence_Pred_val,Confidence_Gr_Val,Annotation_Num,Random_Attack,Least_Attack,Label_Pred,Label
0,California_Gull_0010_40735.jpg,high,high,0.9999999,0.6,10,Lincoln_Sparrow,Brewer_Sparrow,California_Gull,California_Gull
1,Kentucky_Warbler_0041_795888.jpg,low,low,1.30E-06,0.333333333,6,Prairie_Warbler,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
2,Pine_Warbler_0106_171107.jpg,low,low,0.000139168,0.5,4,Prairie_Warbler,Brewer_Blackbird,Pine_Warbler,Pine_Warbler
3,House_Sparrow_0093_110990.jpg,low,low,8.91E-07,0.5,4,Brewer_Blackbird,Prairie_Warbler,House_Sparrow,House_Sparrow
4,Blue_Grosbeak_0071_36948.jpg,high,high,0.9996472,0.625,8,Pine_Warbler,Brewer_Sparrow,Blue_Grosbeak,Blue_Grosbeak
5,Lincoln_Sparrow_0129_117898.jpg,low,low,0.08830103,0.428571429,7,Prairie_Warbler,California_Gull,Lincoln_Sparrow,Lincoln_Sparrow
6,Prairie_Warbler_0052_173400.jpg,low,low,1.36E-05,0.5,6,Kentucky_Warbler,Brewer_Blackbird,Prairie_Warbler,Prairie_Warbler
7,House_Sparrow_0084_111300.jpg,high,high,0.6278104,0.666666667,9,Lincoln_Sparrow,Prairie_Warbler,House_Sparrow,House_Sparrow
8,Brewer_Sparrow_0061_107438.jpg,low,low,2.05E-05,0.5,4,Prairie_Warbler,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
9,House_Sparrow_0011_112099.jpg,low,low,6.35E-07,0.333333333,6,Lincoln_Sparrow,Prairie_Warbler,House_Sparrow,House_Sparrow
10,Brewer_Sparrow_0004_107496.jpg,low,low,0.00019858,0.5,4,Pine_Warbler,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
11,Blue_Grosbeak_0037_36794.jpg,high,high,0.99999714,0.923076923,13,Lincoln_Sparrow,Prairie_Warbler,Blue_Grosbeak,Blue_Grosbeak
12,Brewer_Sparrow_0019_107452.jpg,low,low,6.24E-05,0.428571429,7,Kentucky_Warbler,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
13,Kentucky_Warbler_0073_795895.jpg,low,low,2.51E-06,0.5,6,Brewer_Blackbird,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
14,Kentucky_Warbler_0057_165349.jpg,low,low,2.78E-06,0.285714286,7,Brewer_Sparrow,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
15,Blue_Grosbeak_0081_37034.jpg,high,high,0.9999999,0.8,5,Brewer_Sparrow,Prairie_Warbler,Blue_Grosbeak,Blue_Grosbeak
16,House_Sparrow_0130_110985.jpg,high,low,2.49E-05,0.6,5,Kentucky_Warbler,Prairie_Warbler,House_Sparrow,House_Sparrow
17,Brewer_Blackbird_0041_2653.jpg,high,high,0.99999714,0.727272727,11,Blue_Grosbeak,Brewer_Sparrow,Brewer_Blackbird,Brewer_Blackbird
18,Brewer_Sparrow_0046_796696.jpg,low,low,1.30E-06,0.4,5,Pine_Warbler,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
19,California_Gull_0093_41111.jpg,high,high,0.99997973,0.8,5,Kentucky_Warbler,Brewer_Sparrow,California_Gull,California_Gull
20,Kentucky_Warbler_0065_795899.jpg,low,low,0.00023146,0.5,6,Brewer_Sparrow,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
21,House_Sparrow_0073_112745.jpg,high,low,0.000728936,0.6,5,Prairie_Warbler,Prairie_Warbler,House_Sparrow,House_Sparrow
22,Brewer_Blackbird_0097_2322.jpg,high,high,0.9999807,0.666666667,6,California_Gull,Prairie_Warbler,Brewer_Blackbird,Brewer_Blackbird
23,Prairie_Warbler_0080_172724.jpg,low,low,0.095877826,0.333333333,6,Pine_Warbler,Brewer_Blackbird,Kentucky_Warbler,Prairie_Warbler
24,House_Sparrow_0036_112847.jpg,low,low,0.046766207,0.25,4,Brewer_Blackbird,Prairie_Warbler,House_Sparrow,House_Sparrow
25,Lincoln_Sparrow_0092_117294.jpg,low,low,0.000253098,0.375,8,House_Sparrow,California_Gull,Lincoln_Sparrow,Lincoln_Sparrow
26,Prairie_Warbler_0094_91950.jpg,high,low,1.20E-06,0.555555556,9,Kentucky_Warbler,Brewer_Blackbird,Prairie_Warbler,Prairie_Warbler
27,Brewer_Blackbird_0111_2613.jpg,high,high,0.99999976,0.666666667,3,Brewer_Sparrow,Brewer_Sparrow,Brewer_Blackbird,Brewer_Blackbird
28,Blue_Grosbeak_0043_37200.jpg,high,high,0.999996,0.833333333,6,Brewer_Blackbird,Prairie_Warbler,Blue_Grosbeak,Blue_Grosbeak
29,Prairie_Warbler_0105_172982.jpg,low,low,4.44E-08,0.25,4,House_Sparrow,Brewer_Blackbird,Prairie_Warbler,Prairie_Warbler
30,Lincoln_Sparrow_0116_117372.jpg,low,low,0.01342892,0.25,4,Prairie_Warbler,California_Gull,House_Sparrow,Lincoln_Sparrow
31,Blue_Grosbeak_0053_36709.jpg,high,high,0.99999976,0.727272727,11,Prairie_Warbler,Prairie_Warbler,Blue_Grosbeak,Blue_Grosbeak
32,California_Gull_0028_40666.jpg,high,high,0.9962404,0.75,8,Blue_Grosbeak,Brewer_Sparrow,California_Gull,California_Gull
33,Brewer_Sparrow_0050_107460.jpg,low,low,3.09E-07,0.333333333,3,Kentucky_Warbler,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
34,Prairie_Warbler_0086_172534.jpg,low,low,0.001742739,0.428571429,7,Pine_Warbler,Brewer_Blackbird,Prairie_Warbler,Prairie_Warbler
35,Lincoln_Sparrow_0036_117280.jpg,low,low,0.08195534,0.4,5,Brewer_Sparrow,California_Gull,Lincoln_Sparrow,Lincoln_Sparrow
36,House_Sparrow_0137_111219.jpg,low,low,0.000333842,0.5,4,Brewer_Sparrow,Prairie_Warbler,House_Sparrow,House_Sparrow
37,Pine_Warbler_0007_171523.jpg,high,low,0.00011912,0.666666667,6,Blue_Grosbeak,Brewer_Blackbird,Pine_Warbler,Pine_Warbler
38,Prairie_Warbler_0109_172909.jpg,low,low,0.015343271,0.333333333,9,Blue_Grosbeak,Brewer_Blackbird,Prairie_Warbler,Prairie_Warbler
39,House_Sparrow_0010_112678.jpg,low,low,0.00021127,0.166666667,6,Brewer_Blackbird,Prairie_Warbler,House_Sparrow,House_Sparrow
40,Brewer_Sparrow_0031_796712.jpg,low,low,1.64E-08,0.5,4,California_Gull,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
41,Kentucky_Warbler_0003_795892.jpg,low,low,4.86E-06,0.4,5,Blue_Grosbeak,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
42,California_Gull_0103_41044.jpg,high,high,0.9998245,1,3,House_Sparrow,Brewer_Sparrow,California_Gull,California_Gull
43,Kentucky_Warbler_0071_165342.jpg,low,low,0.001210548,0.5,4,Brewer_Blackbird,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
44,Brewer_Sparrow_0074_107408.jpg,low,low,2.17E-05,0.5,6,Blue_Grosbeak,Brewer_Blackbird,Brewer_Sparrow,Brewer_Sparrow
45,Blue_Grosbeak_0067_36965.jpg,high,high,0.9999995,0.75,4,Lincoln_Sparrow,Prairie_Warbler,Blue_Grosbeak,Blue_Grosbeak
46,Kentucky_Warbler_0050_165278.jpg,low,low,0.010968338,0.333333333,6,Prairie_Warbler,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
47,Brewer_Blackbird_0061_2270.jpg,high,high,0.99995476,0.9,10,Brewer_Sparrow,Brewer_Sparrow,Brewer_Blackbird,Brewer_Blackbird
48,House_Sparrow_0079_113288.jpg,low,low,0.01172982,0.5,8,Kentucky_Warbler,Brewer_Blackbird,House_Sparrow,House_Sparrow
49,Kentucky_Warbler_0055_165426.jpg,low,low,4.24E-05,0.333333333,6,California_Gull,Lincoln_Sparrow,Kentucky_Warbler,Kentucky_Warbler
50,Lincoln_Sparrow_0057_117334.jpg,low,low,0.38580865,0.166666667,6,Pine_Warbler,Kentucky_Warbler,Lincoln_Sparrow,Lincoln_Sparrow
